Category,Front,Back,Pronunciation,PartOfSpeech,Difficulty,Example,Tags
Everyday Situations,Acquaintance,ઓળખીતું વ્યક્તિ — જેને થોડું ઓળખો છો પણ ગાઢ મિત્ર નથી.,એક્વેઇન્ટન્સ,noun,Intermediate,"He is just an acquaintance, not a close friend.",Everyday_Situations; Social_&_Greetings; Intermediate
Everyday Situations,Catch up,ફરી મળીને એકબીજાના સમાચાર જાણવા; પાછળ રહી ગયેલું પૂરું કરી લેવું.,કેચ અપ,phrasal verb,Intermediate,Let's catch up over coffee this weekend.,Everyday_Situations; Social_&_Greetings; Intermediate
Everyday Situations,Drop by,અચાનક કે અનૌપચારિક રીતે કોઈને ત્યાં થોડી વાર માટે જવું.,ડ્રોપ બાય,phrasal verb,Intermediate,Drop by my place whenever you're free.,Everyday_Situations; Social_&_Greetings; Intermediate
Everyday Situations,Mingle,સમારંભમાં જુદા જુદા લોકો સાથે હળીમળીને વાતચીત કરવી.,મિંગલ,verb,Advanced,She mingled with the guests at the party.,Everyday_Situations; Social_&_Greetings; Advanced
Everyday Situations,Cordial,"ઉષ્માભર્યું, મૈત્રીપૂર્ણ અને નિખાલસ.",કોર્ડિયલ,adjective,Advanced,They share a cordial relationship.,Everyday_Situations; Social_&_Greetings; Advanced
Everyday Situations,Mutual,પરસ્પર — બંને પક્ષ દ્વારા સરખું અનુભવાતું કે વહેંચાતું.,મ્યૂચ્યુઅલ,adjective,Intermediate,We have a mutual friend named Riya.,Everyday_Situations; Social_&_Greetings; Intermediate
Everyday Situations,Get acquainted,કોઈ સાથે ઓળખાણ કેળવવી; કંઈથી પરિચિત થવું.,ગેટ એક્વેઇન્ટેડ,phrase,Advanced,Let's take some time to get acquainted.,Everyday_Situations; Social_&_Greetings; Advanced
Everyday Situations,Appreciate,કદર કરવી / આભારી હોવું; મૂલ્ય સમજવું.,અપ્રીશિએટ,verb,Intermediate,I really appreciate your help.,Everyday_Situations; Polite_Requests_&_Responses; Intermediate
Everyday Situations,Would you mind,અત્યંત નમ્રતાથી વિનંતી કે પરવાનગી માગવાની રીત.,વુડ યુ માઇન્ડ,phrase,Intermediate,Would you mind closing the window?,Everyday_Situations; Polite_Requests_&_Responses; Intermediate
Everyday Situations,By all means,'જરૂર / અવશ્ય' — નમ્ર અને ભારપૂર્વકની સંમતિ.,બાય ઑલ મીન્સ,phrase,Advanced,"""May I see it?"" ""By all means.""",Everyday_Situations; Polite_Requests_&_Responses; Advanced
Everyday Situations,My pleasure,'આનંદની વાત છે / ખુશીથી' — આભારના નમ્ર જવાબમાં.,માય પ્લેઝર,phrase,Intermediate,"""Thanks for the ride."" ""My pleasure.""",Everyday_Situations; Polite_Requests_&_Responses; Intermediate
Everyday Situations,Beg your pardon,ઔપચારિક માફી; અથવા નમ્રતાથી ફરી કહેવા વિનંતી.,બેગ યૉર પાર્ડન,phrase,Advanced,"I beg your pardon, could you repeat that?",Everyday_Situations; Polite_Requests_&_Responses; Advanced
Everyday Situations,I'd rather,'મને... વધારે ગમશે' — પસંદગી દર્શાવવાની નમ્ર રીત.,આઇડ રાધર,phrase,Intermediate,I'd rather stay home tonight.,Everyday_Situations; Polite_Requests_&_Responses; Intermediate
Everyday Situations,Much obliged,'ખૂબ આભારી છું' — ઔપચારિક રીતે આભાર માનવાની રીત.,મચ ઑબ્લાઇજ્ડ,phrase,Advanced,Much obliged for your assistance.,Everyday_Situations; Polite_Requests_&_Responses; Advanced
Everyday Situations,Whereabouts,કોઈનું કે કંઈનું ઠેકાણું / સ્થાન.,વેરઅબાઉટ્સ,noun/adverb,Advanced,Her whereabouts are still unknown.,Everyday_Situations; Asking_&_Navigation; Advanced
